CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12994,5,3,974.42,5,3,4,534,Others
12995,86,1,211.32,2,1,1,211,Lost
12997,23,4,1226.89,4,4,4,444,Potential Loyalist
12999,197,3,455.88,1,3,2,132,Hibernating
13000,107,3,534.85,2,3,3,233,Hibernating
13001,5,13,9785.97,5,5,5,555,Champions
13002,319,1,120.95,1,1,1,111,Lost
13003,106,3,149.05,2,3,1,231,Hibernating
13004,12,18,5655.91,5,5,5,555,Champions
13005,174,2,513.7,2,2,3,223,Others
13006,57,1,81.57,3,1,1,311,Need Attention
13008,324,1,229.47,1,1,1,111,Lost
13011,373,1,50.55,1,1,1,111,Lost
13012,10,8,1646.84,5,5,4,554,Loyal Customers
13013,2,13,4810.94,5,5,5,555,Champions
13014,11,10,3466.28,5,5,5,555,Champions
13015,54,5,3339.64,3,4,5,345,Potential Loyalist
13016,74,3,789.89,2,3,3,233,Hibernating
13017,8,1,204.0,5,1,1,511,Need Attention
13018,17,28,7277.7,4,5,5,455,Potential Loyalist
13021,5,9,2616.38,5,5,5,555,Champions
13023,65,2,599.9,3,2,3,323,Others
13026,2,5,975.36,5,4,4,544,Loyal Customers
13027,114,6,6912.0,2,5,5,255,At Risk
13028,23,2,661.3199999999999,4,2,3,423,Promising
13029,31,3,1247.5,4,3,4,434,Potential Loyalist
13030,12,2,752.4399999999999,5,2,3,523,New Customers
13032,53,2,1010.18,3,2,4,324,Others
13033,358,1,190.55,1,1,1,111,Lost
13034,55,2,642.77,3,2,3,323,Others
13035,74,2,921.88,2,2,3,223,Others
13037,139,3,881.0699999999999,2,3,3,233,Hibernating
13038,81,3,908.46,2,3,3,233,Hibernating
13040,9,2,676.99,5,2,3,523,New Customers
13043,274,1,516.42,1,1,3,113,Others
13044,292,1,560.47,1,1,3,113,Others
13045,100,1,305.28000000000003,2,1,2,212,Lost
13046,31,2,629.31,4,2,3,423,Promising
13047,57,9,3232.59,3,5,5,355,Potential Loyalist
13048,15,4,1819.41,5,4,4,544,Loyal Customers
13049,65,2,656.6800000000001,3,2,3,323,Others
13050,15,17,5833.11,5,5,5,555,Champions
13052,213,1,348.15,1,1,2,112,Lost
13055,79,3,1214.41,2,3,4,234,Others
13058,25,3,271.40000000000003,4,3,2,432,Promising
13059,250,1,183.4,1,1,1,111,Lost
13060,254,1,307.53,1,1,2,112,Lost
13061,73,1,248.61,2,1,2,212,Lost
13062,192,1,346.98,1,1,2,112,Lost
13064,13,4,1105.59,5,4,4,544,Loyal Customers
13065,374,1,205.86,1,1,1,111,Lost
13066,25,2,470.8,4,2,2,422,Need Attention
13067,83,1,115.46,2,1,1,211,Lost
13068,11,2,344.0,5,2,2,522,Need Attention
13069,1,24,4431.44,5,5,5,555,Champions
13070,193,1,228.8,1,1,1,111,Lost
13072,267,1,177.15,1,1,1,111,Lost
13075,130,1,919.61,2,1,3,213,Others
13077,2,4,728.02,5,4,3,543,Others
13078,4,26,12627.94,5,5,5,555,Champions
13079,5,5,220.1,5,4,1,541,Others
13080,180,1,58.08,2,1,1,211,Lost
13081,12,11,28337.38,5,5,5,555,Champions
13082,127,9,3613.63,2,5,5,255,At Risk
13083,5,2,303.75,5,2,2,522,Need Attention
13085,158,2,416.08,2,2,2,222,Lost
13089,3,97,58762.08,5,5,5,555,Champions
